"Nuclear production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Iraq";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Ireland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Isle of Man";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Israel";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Italy";0;0;0;27773,0008598454;206448,839208944;301805,674978506;332158,211521928;271023,215821154;221496,130696476;144368,013757524;273086,844368015;289337,91917455;311779,87962167;270163,370593295;293207,222699916;326741,186586416;327343,078245918;291057,609630268;380739,466895961;225967,325881343;189853,826311265;232760,103181429;585038,693035257;497248,495270854;592175,408426486;603955,288048154;753052,450558903;14961,3069647464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jamaica";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Japan";0;0;0;0;0;0;51590,7136715394;51590,7136715394;85984,522785899;94582,9750644889;395528,804815135;687876,182287192;816852,96646604;834651,762682722;1693809,11435942;2160361,13499571;2930266,55202065;2722184,00687878;5100000,00000003;6052708,51246779;7101547,72141018;7551160,79105765;8807394,66895964;9827257,09372318;11544625,9673259;13721238,1771282;14471539,1229579;16144282,0292348;15361908,8564059;15723903,6973346;17392261,3929494;18354256,233878;19196818,572657;21432158,211522;23140670,6792779;25043336,1994842;25984522,7858987;27444282,0292349;28576354,256234;27224075,6663802;27691229,578676;27502837,4892521;25373516,7669821;20637403,267412;24285640,5846949;26204213,2416166;26089939,8108342;22685468,6156493;22195012,8976785;24054170,2493552;24783319,0025797;8749871,02321587
"Jersey";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jordan";;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"Kazakhstan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
